#model.rxns	memote_revIdx
r_2027	-8.295562665
r_1618	-8.273940434
r_4359	-8.205389419
r_4357	-8.199209833
r_0164	-8.18778449
r_4042	-8.138733447
r_0976	-8.132071171
r_0977	-8.132071171
r_0189	8.112272736
r_4400	-8.078975177
r_0064	-7.993022307
r_4045	-7.986098126
r_0028	-7.905437907
r_1620	-7.86654246
r_0080	-7.849831062
r_0319	-7.822655659
r_4347	-7.79308689
r_0072	-7.785832015
r_0500	-7.782074914
r_1617	-7.763386687
r_4298	-7.747424453
r_0193	-7.742677387
r_0194	-7.742677387
r_0369	-7.740962861
r_4571	7.737877445
r_0978	-7.73147026
r_0979	-7.73147026
r_0449	-7.680760978
r_0044	-7.569928418
r_0541	7.568937953
r_0489	-7.520887916
r_0032	-7.505418064
r_4306	-7.470907451
r_4300	-7.469998458
r_4307	-7.46993276
r_0176	-7.469333895
r_4294	-7.469333895
r_4295	-7.467947214
r_4301	-7.467705462
r_4303	-7.4660296
r_4304	-7.465978044
r_4305	-7.465961241
r_0673	-7.462557868
r_4245	-7.431123468
r_4299	-7.424992635
r_0563	-7.413449558
r_0917	-7.409545937
r_0570	-7.398283889
r_4302	-7.377071793
r_0078	-7.294061727
r_0177	-7.26967665
r_0178	-7.26967665
r_1056	-7.257205343
r_4297	-7.222345286
r_4582	-7.200133808
r_0971	-7.16286498
r_2118	-7.159745734
r_0185	-7.134028546
r_0973	-7.128616108
r_2284	-7.116658591
r_0672	-7.083833596
r_0100	-7.030992302
r_0514	-7.001126575
